Address Count,Avg Gas Price,Block Difficulty,Block Size,Block Time,Unique Daily Active Eth Address Total Count,Unique Daily Active Eth Address Receive Count,Unique Daily Active Eth Address Sent Count,Gas Limit,Gas Used,Uncles,Network Hash,Verified Contracts,Network Utilization,No. of ERC20 Token Transfers,Transaction Fee,Tx Growth,Supply,MarketCap,Price,weekday,day,Next Price
97318378,32980999573.0,2249.315,25703,13.12,293787,221815,189980,9987205,60746032020.0,423,179815.0142,72,0.9387,450821,1.86e+21,856962,110916384.2,22166.63939,199.85,1,2,203.32
97421228,41116263713.0,2283.144,25607,13.13,297910,223337,197270,9985205,59010054536.0,463,182810.0862,73,0.9159999999999999,475016,2.25e+21,820300,110930077.4,22554.303340000002,203.32,1,3,194.65
97528924,32000157331.0,2328.7039999999997,27276,13.21,319069,246365,201039,9984019,58407729475.0,440,184975.6186,79,0.9113,519038,1.7e+21,888691,110943665.9,21595.184569999998,194.65,1,4,200.51
97636945,25477191550.0,2276.2870000000003,26716,13.28,310647,241880,186408,9985903,59744462257.0,431,180021.6285,61,0.9359,493251,1.38e+21,875030,110957202.6,22248.02869,200.51,0,5,206.98
97738090,27103939904.0,2326.028,25429,13.13,297580,227262,183865,9986737,60639672800.0,448,186270.6822,54,0.9390000000000001,455396,1.49e+21,808464,110970888.3,22968.75447,206.98,0,6,214.73
97846844,36508693750.0,2271.761,26532,13.26,318949,242616,203342,9982652,60082983614.0,433,179821.4184,64,0.9403,503686,2e+21,857645,110984425.9,23831.68577,214.73,1,0,214.63
97954302,33240461791.0,2243.005,26817,13.33,328912,252710,199722,9984647,60076385709.0,441,177233.7735,76,0.9425,483110,1.79e+21,848038,110997945.2,23823.488980000002,214.63,1,1,209.85
98065600,36510632877.0,2298.306,27680,13.16,321358,242522,203856,9985054,60747209011.0,429,183119.6911,83,0.9433,494345,2.07e+21,855377,111011573.0,23295.7786,209.85,1,2,198.56
98178026,48851382307.0,2237.936,28609,13.12,326301,244204,213316,9984006,60442889830.0,434,178439.1463,66,0.938,459940,2.81e+21,867704,111025208.2,22045.16533,198.56,1,3,207.28
98299479,35001330711.0,2258.238,28545,13.32,337403,253674,215320,9983609,59945832815.0,467,178254.4489,52,0.9459,504740,1.93e+21,916282,111038696.6,23016.10103,207.28,1,4,206.7
98422710,22171704727.0,2273.519,26836,13.03,333005,261840,193504,9986196,61673448559.0,472,183802.3927,58,0.9489,474949,1.23e+21,868425,111052509.1,22954.553630000002,206.7,0,5,199.78
98535636,29040279475.0,2304.28,26739,13.28,300696,231304,184177,9985129,60554332651.0,442,182768.8961,43,0.9468,438448,1.62e+21,825755,111066067.7,22188.77901,199.78,0,6,204.1
98652007,38094676834.0,2262.0,26743,13.31,317561,238839,201551,9986055,60202898263.0,445,178237.2261,66,0.948,493044,2.09e+21,875607,111079537.5,22671.333609999998,204.1,1,0,201.03
98779093,37860437126.0,2240.724,28230,13.07,335851,254890,216220,9984546,61165579540.0,432,179206.0128,61,0.9465,486543,2.14e+21,916975,111093214.8,22333.06897,201.03,1,1,208.34
98898302,42827563449.0,2295.6079999999997,26742,13.22,332968,259582,220749,9983442,60555877495.0,439,182878.1103,74,0.9418,482264,2.33e+21,896217,111106821.2,23147.995130000003,208.34,1,2,220.3
99014386,39750197752.0,2259.74,27984,13.23,340054,267558,220013,9983262,60676512378.0,417,178634.5644,102,0.9487,492060,2.26e+21,907265,111120342.0,24479.81135,220.3,1,3,220.56
99132158,34983980235.0,2275.065,30559,13.22,374674,303570,220263,9984681,60619345455.0,441,181030.9257,68,0.9440000000000001,499509,1.96e+21,949269,111133945.1,24511.70293,220.56,1,4,243.57
